photoID,centerPoint/x,centerPoint/y,radius
PHOTO_fad6b9dbba8acd28c62d7a2569c479a9d,0.3834,0.5492,0.0295
PHOTO_9e9f9c62cacc9b3cc9bde826dca29e3cc,0.2715,0.446,0.0603
PHOTO_b2ac9bc9dd993dcc9301dede0b878ebcb,0.1668,0.7385,0.0778
PHOTO_d9adbca9fba9d0b5dc9dc7cc0f575b64d,0.1784,0.5621,0.0304
PHOTO_abcd5cabdd79ababc985c0dbbcf9946aa,0.7071,0.1577,0.015
PHOTO_f499d5d989d430b838c78bcda5b793dab,0.351,0.2193,0.0377
PHOTO_6c6cbbbc2cdccd9dfeb69c981d044ccbb,0.4687,0.9156,0.0906
PHOTO_2bd9baa2db2cb9bcacc4a3dac9b6bcc99,0.4215,0.6533,0.0733
PHOTO_aa9dcacca9c49c454ca9db17ac4aeeada,0.6353,0.6849,0.0771
PHOTO_ffcca93a8673ac3bcca655603930c1a3c,0.3438,0.6672,0.0126
PHOTO_5bc5ab1d9d9b2c99c6ecd8ce9d19883b3,0.2671,0.1559,0.0472
PHOTO_a0bbc9950cbbfcdc89ca66a3949aaf92c,0.1341,0.4203,0.0239
PHOTO_8a4a98591d3bac8c6daaadbb89a9ba019,0.5929,0.1236,0.0292
PHOTO_55743bdccdc3b0cb8d8dbadac25b8298d,0.675,0.4975,0.0914
PHOTO_59cbcc8ba184cca1c9b4b5b7428a4779d,0.4641,0.8173,0.0584
PHOTO_fb7820c4ac98adaeb0a411859bc7c1b2a,0.7065,0.2109,0.054
PHOTO_ec94bba9de59ed4b9c3dced705fc69b9b,0.1142,0.8068,0.0256
PHOTO_cd9dbeabad9c8abbcb739a6a630a7b9df,0.6574,0.5843,0.098
PHOTO_d5bddcdb08b5c178cdc8dbcbaeb1a4c94,0.9975,0.3874,0.032
PHOTO_5dceadeb698c9ccb4ac38bbbcebc2099a,0.7868,0.7986,0.0295
PHOTO_54dcfaa56abcfac86bed5a8d63bd2ca9c,0.759,0.4866,0.0998
PHOTO_7d8cc94d20c9fca50dccc9fe8bac6decc,0.1681,0.5243,0.037
PHOTO_20a933a228c7b1c9cadd48ac31cab902e,0.223,0.8544,0.0506
PHOTO_fdbb72c5bd506cbcad99adfd9bacfcd5b,0.2191,0.1108,0.0375
PHOTO_87b91b89adc9a7dcb9fcb6ce8af4b9cbb,0.1552,0.4207,0.0251
PHOTO_fd74386268d2a5bbb0c7c3d4bbc9aec9b,0.8204,0.6953,0.0679
PHOTO_0bb93d820a8f8a91caa1ed9cb49be9b8d,0.647,0.4521,0.0788
PHOTO_8aab391c2d331b98bb6890dbf8186e999,0.223,0.6424,0.0881
PHOTO_7dcadd58153a9a9ce9bddcdd5de6ddab1,0.4092,0.1962,0.0554
PHOTO_9964b9c65dacfddba2c9242957ebc99b1,0.8269,0.2785,0.0172
PHOTO_7af596db969db48df4bcd5bf617fb9dd9,0.9208,0.568,0.086
PHOTO_6b787d5d2e59f78d2da6b9a0f3d5c9be9,0.2679,0.3892,0.0156
PHOTO_3dabb8c310fdeacdbc67ba81ccdb4cddd,0.9902,0.3338,0.018
PHOTO_6bc9b07b95bbb0d8c8bdb9bbfa84d739d,0.6694,0.1937,0.0585
PHOTO_cc9cb9c8bab19523229da87ca94a916bb,0.5076,0.883,0.0117
PHOTO_d871c1bbbc5ace9c9ddc7fa8d9cb80d66,0.116,0.6482,0.0101
PHOTO_75ad569aa9babbc9fce9bde8a7b19c4dc,0.7686,0.5143,0.031
PHOTO_b9ae6ae8cdaddcad6973d3cceacdbb4c0,0.5007,0.8631,0.0572
PHOTO_e5acca7a8ca3ccc8c609b4b0c819abfcb,0.8784,0.2437,0.0177
PHOTO_f6daa5db9a962bc9ea06aecc4648b7da9,0.5456,0.8174,0.0658
PHOTO_d5c3db9fb7a94afabdca2a9aeaadacda4,0.1192,0.8255,0.0507
PHOTO_0dbdb4b8ddbbd1ea4c91de5188bc45cdd,0.8746,0.2407,0.0986
PHOTO_4f999adac0b90acb8ebbd9da98a9d9aad,0.867,0.3737,0.0199
PHOTO_fa9c5db296fdcec9b3a6918abeaddd978,0.4932,0.1069,0.0192
PHOTO_5c96b2b9d2b17a35a9b50721acec9fbbb,0.8872,0.3079,0.0886
PHOTO_5acd9c9ba19973b1877029829968abb8d,0.9703,0.593,0.0909
PHOTO_09b0698bddfaaca593995cdc89cb9dab8,0.518,0.5356,0.0554
PHOTO_7cb4528cccda39ef8d73ace9b97b33ccc,0.2295,0.5073,0.0305
PHOTO_ed7c3903cb557d4a28aaca5dd8bba9bdb,0.1023,0.8607,0.0646
PHOTO_9cbbdbddc2d4dd9a9c8ba8b31d6a28cc8,0.7782,0.1059,0.0886
PHOTO_0f9bded8bceedeaad174c721bc9abb0df,0.648,0.322,0.0327
PHOTO_8790daedcbbd86ddcdc98dd9a056c8bab,0.3753,0.6975,0.0631
PHOTO_68c1cdaa20a7c1baec9408a9c89a7b43c,0.8915,0.8269,0.0544
PHOTO_3aca79c38d9897962cda88dcc6b3bad50,0.5088,0.3616,0.0296
PHOTO_163adbcacbead19c3a4bbcbb20a4bc43b,0.4329,0.1431,0.0116
PHOTO_8a80db42d91dabdddb2bdca991c18a133,0.685,0.3504,0.0505
PHOTO_99b35ec9c90d89d9f06e9cbba436baf85,0.1842,0.2268,0.0412
PHOTO_5cbee0a8a9081a78261dc99bcdd1b98ba,0.6346,0.605,0.0823
PHOTO_2cc6ac98ac0319b299db56b47dc2cd5cd,0.9795,0.3111,0.074
PHOTO_cb8d8abcbeabd18a89edccad5a8f9ca4a,0.5705,0.8815,0.0767
PHOTO_73aaf4e04ab9cab2ddd9dcacccadc79ec,0.8818,0.9774,0.0813
PHOTO_2ddddc07b09cbdd9b87d82b50d9d2bdab,0.8606,0.4618,0.0823
PHOTO_7babc63299abd8e5ad95398aac68590ce,0.3473,0.4236,0.0851
PHOTO_6dbc7725bd9b0b9ed8fda4bddfd8bc24a,0.2972,0.732,0.0767
PHOTO_462d7a83b9bda909aad89d9a3a9c9b58a,0.726,0.217,0.0122
PHOTO_ddbc68e7929a9f1a36c906aeca9f88de8,0.6425,0.4692,0.0169
PHOTO_7bc1c02b9cd9ab5c8d796a496cacab9ab,0.4197,0.1695,0.0454
PHOTO_62ddaffc7cfc2989cc8c6bc8bba5bdaa4,0.1774,0.7228,0.0775
PHOTO_5a9fc1cdead9dccd93d995bcd7aad9afd,0.2722,0.3189,0.0864
PHOTO_6deb51c8a8b3cdac819caddaaa5aca8b9,0.8242,0.6607,0.0427
PHOTO_08db5b6730a3953c4ea0eaeb9bcd5ad0d,0.1161,0.4593,0.0504
PHOTO_3b7461b0c2b9fc0d9dd9bad49f7bacc30,0.9943,0.8653,0.0573
PHOTO_aab71c2e2c9f0a981c8ad7f169b3aaada,0.6411,0.5825,0.036
PHOTO_0a4c9eacbc99e9e9d2ccd51d9c37abc39,0.8163,0.1588,0.0339
PHOTO_46d9a0d8d7dcc3ecd9fb899c5c89192db,0.7012,0.1684,0.0845
PHOTO_ebab9a9d44a9bb31ea5cc4a49adc4a798,0.2123,0.5088,0.0557
PHOTO_9cac121abefb4a5d0bad9db1077d21769,0.88,0.3832,0.0974
PHOTO_5086372dadb6b715a80cec8b2ab96c0b1,0.3112,0.1856,0.0267
PHOTO_cbbdb8d6bca4ca2f1aca7cfb5cccb9272,0.852,0.1008,0.0847
PHOTO_0fc9098900cb9739ddad95cda886e87cb,0.1182,0.3388,0.0332
PHOTO_6bbab8b83a8cb5bddd9cd9b9daabcc39b,0.784,0.9253,0.0647
PHOTO_29a39ec6a96c88a59aacb1ca8aa99c9ca,0.1099,0.8713,0.0939
PHOTO_3abd8a8a95fc9bd8b7a9f49b80bb2ab6d,0.484,0.8283,0.0573
PHOTO_6cccdb0a725909c985c9da3a9a8db7d79,0.9126,0.8964,0.0131
PHOTO_5f9ca38ad9dbb0df4c38fafbd08e2bc7d,0.2981,0.5336,0.0188
PHOTO_fed4cd6180358cbbba0d68d5adafbd892,0.9058,0.7668,0.0274
PHOTO_c964dbd8d92bb5a0d5d98bfec0cc9d0bf,0.3128,0.4394,0.0153
PHOTO_c859c0bbdc989cba6dc5ea9c0a9c4df48,0.6847,0.2991,0.0545
PHOTO_5cf3bccbdaacd99ca0ea092a59d5994ca,0.329,0.9546,0.0867
PHOTO_c643df9b3f96d3c26bc9c9abedd7cbd89,0.9063,0.3238,0.0368
PHOTO_0c3a9ccd5faaacd19dd67aaaa5279d0b8,0.5894,0.4043,0.0429
PHOTO_bc9ceac3e88a9cc9ba18c8209dcaaecd6,0.3966,0.732,0.0144
PHOTO_8b8950edd3c068999f12458d89aeaba00,0.9624,0.6309,0.0627
PHOTO_fdad5dd79eba4bb94ad4b275cbcab0d9d,0.7598,0.2049,0.0519
PHOTO_6bccabb9a4641b93fcb16a3ea4d95194f,0.1151,0.7705,0.0743
PHOTO_bdfdda2a1ca0a8ad9a414afd1abacd9a0,0.6449,0.9712,0.0453
PHOTO_a06d0dbdeb6c0dd8d099fc9d9869dc96b,0.4825,0.5173,0.0444
PHOTO_c56ea09d90ccdf132a3d5ccd1a8fededa,0.9258,0.5483,0.0619
PHOTO_dc57a5bdcd9adfdbfd918c029dd2b2bac,0.6618,0.7449,0.0345
PHOTO_680ddc862a93362db3dcd83ad1e81ccb8,0.3559,0.8549,0.0738
PHOTO_89b9ba9bdadfc15cb49c08d9bb3ae4e1a,0.4752,0.6855,0.0909
PHOTO_69b997c9cbb2cccad1b6dc5a3bbabdbaa,0.1661,0.6736,0.0317
PHOTO_99498dd8ecc9e378d4ddb04cdb9cdc0b9,0.9856,0.513,0.0956
PHOTO_3c81d4dcb72bab097d8ed9ab1b26f7cfb,0.228,0.4658,0.0446
PHOTO_bfcbd9f865a99ae98ad8498b89dad1ca0,0.4765,0.2353,0.0998
PHOTO_11caad69fab3a99bb378da19eb941aa12,0.1111,0.9114,0.0122
PHOTO_fa5c8b56d0bb98dadccc9d9964aba0214,0.9382,0.6159,0.0626
PHOTO_62b29a89511ddebfa9cd9c4c95c59acd9,0.7343,0.5367,0.0129
PHOTO_7a992c5fbb2a6db31abcdb59c5c920f51,0.6779,0.7568,0.0996
PHOTO_d5aa19dddb8d90b6cc66853c4890283a9,0.3973,0.7232,0.0915
PHOTO_eabfadb2bd3adbdd61b71b93cdaabada5,0.999,0.1491,0.0241
PHOTO_6bbdd6d6b2ae80ce9e956c8bbadabc9dc,0.988,0.8417,0.0991
PHOTO_6214ac62da6d684ca95b8ebbdcacd992a,0.6608,0.2722,0.0391
PHOTO_3d9ea188d60ddbcb649f99cb91aab9bac,0.6462,0.6699,0.0323
PHOTO_f1aae0ee09d6c1a4fa10ad842ddc4ad90,0.3889,0.2448,0.0653
PHOTO_6de3dccaddd93ba30fe99dc5223ba6b95,0.2023,0.2525,0.0317
PHOTO_20f298edb7cc913d8abb4d54d88a1aa04,0.7522,0.6766,0.0785
PHOTO_4cad9ccb89d9568b8bf41c4aaafd6025d,0.9307,0.287,0.0979
PHOTO_691ecd408cdaa92dab9b5b9afc8d99b7e,0.3652,0.4852,0.0825
PHOTO_f8cccefc3a899900dcdb911eacc76685d,0.4609,0.7301,0.0561
PHOTO_4593ae7acddaafafc486cb10bbab1cdc9,0.3336,0.3205,0.0686
PHOTO_3bbccdb9bd947d87e9cc8bb18dfa2bd9a,0.2052,0.2366,0.0435
PHOTO_2a7dd0a9cc6bc7c3ba9d90dd8c8b8d999,0.8362,0.7427,0.0646
PHOTO_59dca9bbd9bbcc7a8ebb952d7cb3dd66a,0.1764,0.5978,0.0626
PHOTO_f09900dacdcaaffc165a28a138b5da5dd,0.7397,0.6525,0.0411
PHOTO_19b9d4a81bfa96cfba85b9cbdcb82a99a,0.5144,0.908,0.0783
PHOTO_98dd402c2989a999ddc58ccaa89b94666,0.411,0.405,0.0895
PHOTO_c423dac6ad5d26d9bdc2ba9bdb3dba988,0.8515,0.1671,0.0692
PHOTO_0bddca3dab8ada1dc67aa659a8dae21d1,0.5869,0.9152,0.0768
PHOTO_bba7ab4bfd7abb4be6b839bacedd09cf8,0.4502,0.2538,0.0596
PHOTO_f0bc6b8f09b23bb429bcbbacb31fada9d,0.1926,0.8418,0.0591
PHOTO_cbcc9bcd5d69bdc65fddc9911db8b4da3,0.7657,0.1241,0.0708
PHOTO_40d75b6d955cc57a58da3afa65c4984b9,0.2286,0.777,0.0262
PHOTO_4dc999cdc92badb449d9599ab95dbc8fc,0.5825,0.2056,0.0931
PHOTO_ea99da59c91ddd6b9ac7c29c9b68981aa,0.1867,0.2395,0.0721
PHOTO_a3b8a5c6eb968db43b185cb91cd2a5cbd,0.7192,0.4262,0.0521
PHOTO_eab2a00d0c98e5aa4d9cdb8aab9ccf7a9,0.503,0.505,0.0186
PHOTO_a09ca1cbbc4cbdc5d1599b4c79b99a94c,0.4592,0.7379,0.0629
PHOTO_29b619990a999a89cb8c8a9bca80863ad,0.5215,0.6503,0.0509
PHOTO_cc751e09a57ca4309d9aa0d8d0cadd8c9,0.822,0.7817,0.0503
PHOTO_a68c720cdb4b8d99aab5dbdada2f90fba,0.4719,0.3879,0.0513
PHOTO_8bbdbe489feb9ab5d7afbd1b2fbbc957b,0.9503,0.865,0.0306
PHOTO_6cd99590d2cdd58bcbdaca9bab1dab999,0.5273,0.2258,0.0702
PHOTO_4b852ed7cd7cb909b9baccaabdba96e7a,0.8343,0.6676,0.0101
PHOTO_9526014aabbddbb1b909e8abd7a9bd9da,0.4703,0.1819,0.0525
PHOTO_ddfb8d99dc59ddd964c6cc8d3dbe99d9f,0.4851,0.8139,0.0672
PHOTO_6915baf9bc7bdccac9ce6c9661d06bbbd,0.777,0.4728,0.0852
PHOTO_f8dd98b8ad53fa1b3b887a69a98da9c9a,0.7463,0.5208,0.0267
PHOTO_bb7bfedb9abca4ac4db9a04bdbdf349cd,0.2018,0.8487,0.0432
PHOTO_da49b7aac689b29ccd03daa8b91d4a8b5,0.7081,0.7403,0.0835
PHOTO_fe1b85fbc3a88b9c9393a76bd2bac9bc8,0.2443,0.8501,0.0977
PHOTO_fb98cc83d7d896ac918bccafb9d2a2dc5,0.4229,0.6419,0.0771
PHOTO_cacb99993cad3c3cdaa919c17aabdbaaa,0.9731,0.7924,0.064
PHOTO_49a9d9c9ad55d59caa9bb78851a1addeb,0.2328,0.3355,0.0274
PHOTO_698dd2da7cccada9c7b3f4bbbcbdbded9,0.4574,0.2014,0.0258
PHOTO_fbb0db5b9897c9a69d9e9b13dc1bc84eb,0.8281,0.1319,0.0231
PHOTO_7ab5a88a07355bb99b02dfd0cd8ca09c2,0.3253,0.2217,0.0715
PHOTO_19bcbf8aa0cfbb789b9df2dd9b55badbb,0.3821,0.7942,0.0236
PHOTO_8bbdb5a9d9bbda9cddbadfeda74b6bdea,0.8364,0.3842,0.0123
PHOTO_fc989a958e44aebcbc1d99b2cd98bd0d5,0.4718,0.7222,0.0336
PHOTO_eecdbf39c8afdd93660c8bd2d1261c25c,0.9953,0.7975,0.0365
PHOTO_1d2bcc20caa5dcdf2adbddbb997c9aa36,0.6124,0.8404,0.0284
PHOTO_f9ac49d794965be7cdd859badaf998957,0.9642,0.1745,0.0179
PHOTO_cf8414c8dbbacacd8d47bd29c2c9ba31f,0.5418,0.6821,0.0139
PHOTO_a3b97fa5ad0a9ad913dc58dadcd43c538,0.5244,0.9927,0.0885
PHOTO_7bbbcbd8a95afcd967db8d8eb7b87da2c,0.1956,0.487,0.0387
PHOTO_7bc982bcb14b79490cdb9386bdab9fc0a,0.3358,0.374,0.0139
PHOTO_b23f9c5c0b4bbdac1c79d599b8ab18c2f,0.6727,0.355,0.0125
PHOTO_0bbcda1489aaaefbdda6b7ba44bb86ddb,0.3473,0.7201,0.0404
PHOTO_e8eb94b4da88ea5099bd55f4cd8da98ec,0.765,0.3498,0.08
PHOTO_db3a9dcabebf49013badbb8cfa9aa79ea,0.8236,0.8859,0.0277
PHOTO_ecc461c7dbbc38a0ccccfc02d72d1cd38,0.2663,0.2622,0.0895
PHOTO_62d9b73c9b9bb0c37bc6f3bb90adddc9a,0.406,0.8561,0.0349
PHOTO_04cc39b5d29c68c9bc9bdfdb2ccaaacd4,0.2731,0.9156,0.0828
PHOTO_0c397ccb429cdc23ccab93caab6accab8,0.5912,0.9189,0.0852
PHOTO_3e4d09ebcc891dca09609cd3d96d1dbc7,0.6828,0.6899,0.0164
PHOTO_e70a02c872afa9dbab29d019b7c8ddbbe,0.6158,0.2839,0.0985
PHOTO_0cec89c0dcacba20216b93d9c502dcda4,0.692,0.5727,0.0622
PHOTO_1caadc794bbc8a4d83abc3db3c826d9a9,0.4898,0.5048,0.0166
PHOTO_79bbd9dddc8acba9bdf8fdadc389bbfb3,0.9637,0.3894,0.0857
PHOTO_404f290a9186cac9baa9d78485aadafa7,0.6463,0.4733,0.029
PHOTO_4be0aa499accd6da2a4afc85bdaabc2da,0.1807,0.7022,0.075
PHOTO_d55a89ccfa00dbcc3bd149cbd94a5cc9b,0.6598,0.1647,0.0985
PHOTO_6a0b9bbbc98aaa892b916ba89189b9a1f,0.9525,0.6479,0.0408
PHOTO_a4acb99ad6ac18ccfacda99b9bae88b92,0.3567,0.7358,0.0971
PHOTO_cafb8999b6f6aeea490dbc399cdd8caea,0.9071,0.4849,0.0884
PHOTO_6bdcc99db589dd9c3adc9e9bcddb1c0cc,0.3991,0.6577,0.047
PHOTO_275bfddc3b80a33d5d9acd98e7735c50e,0.2963,0.7596,0.0762
PHOTO_144cba99ddd2ca7c9cbaa29d6bd4eccaa,0.633,0.7111,0.0493
PHOTO_9c605ac18e873ddad1b923472deb9a4ce,0.2604,0.713,0.0549
PHOTO_8a1bb9b65cacc3a3c9d7c9dda69e9faae,0.5131,0.3486,0.0609
PHOTO_f5a2e5a2a4c9a49d9e4bcaada6c84987a,0.2372,0.7631,0.0307
PHOTO_cbbe3a8bca1c7c8a5aa7ecd2deb7fdbcb,0.6967,0.8302,0.0289
PHOTO_26c9d84ccbabdc3a82a94194ac5eb9dad,0.4601,0.7577,0.0607
PHOTO_fa0ec69dca46d994ca2fd21cba2b9989d,0.8597,0.566,0.0326
PHOTO_949adfdccd5dea336bda2d06874b603ab,0.9474,0.41,0.078
PHOTO_5872dab68becda6bbc840ab0bafb99cba,0.3922,0.5519,0.0591
PHOTO_dabdcdab4c67589dabad4e9bddd9cb5e0,0.6929,0.86,0.0361
PHOTO_3497c92b7c4d1dd990accfb077b70169d,0.3611,0.1625,0.0234
PHOTO_6b1a36becbbc99882d95bcadbd8c9bb92,0.6145,0.7681,0.0197
PHOTO_4998d9a2bcc81bc91cfa9b9ccc9bcb779,0.979,0.1652,0.0228
PHOTO_1bab9da8da6bfcfdd7a3caaa395bba698,0.1531,0.9182,0.0806
PHOTO_7139aa0cadb9dbbcd8e926da1b1aacb99,0.8853,0.4265,0.0481
PHOTO_eddaa1da9dcbc16f89cb4addbd43bdd92,0.6395,0.2006,0.0877
PHOTO_01b0ab1cd4d13cc9cbd8006f96ca9030c,0.8181,0.9981,0.0201
PHOTO_34b5bed5dcd6abbda893087dd0c20a9b0,0.1258,0.9128,0.0506
PHOTO_7acb7971a18d92cfba8d9b8cb7e6acbdc,0.6557,0.5488,0.0707
PHOTO_2adbdad65b989bccde4dcbdc7b0a6aab3,0.1729,0.2707,0.0172
PHOTO_19f7cb089d992bf9cdbb977b9ea46cabe,0.6591,0.5791,0.026
PHOTO_41bbd907c93115abbdeca4aadba909998,0.2538,0.2731,0.0632
PHOTO_abb9ad6ac5fcaa9a9ba59a83aab8f9dc4,0.3132,0.4779,0.0712
PHOTO_692d5ca4db3f9cd07ac967bfd2089ff3e,0.6824,0.812,0.0613
PHOTO_4bd8230bd9138bb5c206ccb9b9dac89ce,0.9141,0.9905,0.0375
PHOTO_3d5d9cb8c94b0d5d85e5cb9baad3dbc41,0.8529,0.8675,0.0307
PHOTO_f9cdb56897c8ba9fb39099c9df365de78,0.7708,0.5833,0.0608
PHOTO_69dcba9db9b1caace6da9df392d6cbcbe,0.4827,0.1907,0.0968
