id,mobile,name,birthday,ID_number,clinic_card_id,social_security_id,inpatient_id,gender,has_deleted,other_info,createdBy,create_time,update_time
PTS_25b0c59abacdfaad38b,18740711478,荀彧,Sat Aug 08 1992 00:00:00 GMT+0800 (GMT+08:00),366936085522384100,V0,4995ac87c,H0cbca90224886,F,0,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Sat Jun 24 2017 00:00:00 GMT+0800 (GMT+08:00),Sun Jul 02 2017 00:00:00 GMT+0800 (GMT+08:00)
PTS_99e33699db29eadfc78,18380360036,精卫,Sun Aug 13 2006 00:00:00 GMT+0800 (GMT+08:00),275701533782510180,V10,cdaac7d9b,H2baeaaec9c3c8,O,1,,USER_392ad4d986ba4b8b00aa999cbd368adad,Thu Aug 31 2017 00:00:00 GMT+0800 (GMT+08:00),Thu Aug 31 2017 00:00:00 GMT+0800 (GMT+08:00)
PTS_dd39757d36b8d49ca2a,15498291697,卫青,Wed Nov 19 1924 08:00:00 GMT+0800 (GMT+08:00),545617286435710800,V6,cdaa9dd13,H359dca3ad1b9c,F,0,,USER_ecc9dbad98b9cddcdabaca0d8be9dedb2,Fri Jun 26 1987 00:00:00 GMT+0900 (GMT+08:00),Fri Aug 07 1987 00:00:00 GMT+0900 (GMT+08:00)
PTS_b6825ad9b1229dd6c99,18164956433,陈浩南,Tue May 07 1991 00:00:00 GMT+0900 (GMT+08:00),858870912045831600,V8,fa5cdadaf,Hbb0c69abd0cbc,M,1,,USER_392ad4d986ba4b8b00aa999cbd368adad,Sat Jun 18 2005 00:00:00 GMT+0800 (GMT+08:00),Mon Sep 26 2005 00:00:00 GMT+0800 (GMT+08:00)
PTS_5c8cdc9d9f78dd9cd53,17921443578,陈三元,Sat Apr 02 1977 00:00:00 GMT+0800 (GMT+08:00),361984021185470850,V4,fd4499799,Heda1c9b882c2a,F,0,,USER_ecc9dbad98b9cddcdabaca0d8be9dedb2,Sat Oct 20 1984 08:00:00 GMT+0800 (GMT+08:00),Sat Oct 20 1984 08:00:00 GMT+0800 (GMT+08:00)
PTS_8ac1b0ccb85dd3bd8af,14996103681,陈三好,Sat May 10 1924 00:00:00 GMT+0800 (GMT+08:00),637214346057143900,V6,cd98ed79f,Hce99b9993aa9a,M,0,,USER_abb8bc879cf34d6ab5c89adaa61cabd40,Wed Aug 03 1955 00:00:00 GMT+0800 (GMT+08:00),Wed Aug 03 1955 00:00:00 GMT+0800 (GMT+08:00)
PTS_b2badd8d9081899a695,15291563410,石敢当,Sun Feb 18 1945 00:00:00 GMT+0900 (GMT+08:00),484944727393586400,V0,e00b8ba5d,Hbc5c6a1cab169,F,1,,USER_77917abb99c8b28d1ec94b2869dc868d5,Wed Aug 08 1973 00:00:00 GMT+0800 (GMT+08:00),Wed Aug 08 1973 00:00:00 GMT+0800 (GMT+08:00)
PTS_1dbdcac2c9c9bbcd3ae,16386795911,李三,Tue May 25 1937 00:00:00 GMT+0800 (GMT+08:00),613035570410497500,V10,6aec9f061,H8b163996b49b3,M,1,,USER_5bca6a8481ce9ddc7bbcbc9a2ad9ca10b,Sat May 29 1943 00:00:00 GMT+0900 (GMT+08:00),Sat May 29 1943 00:00:00 GMT+0900 (GMT+08:00)
PTS_4bcb0dbcdeafa7ed942,18461365275,布成龙,Thu Apr 20 1933 00:00:00 GMT+0800 (GMT+08:00),741971737028405100,V1,81ba6aabe,Hf67468cad9d9c,O,1,,USER_7d41d1abf8acaa6b2ac8da89af0dfab9d,Tue Sep 05 1978 00:00:00 GMT+0800 (GMT+08:00),Tue Sep 05 1978 00:00:00 GMT+0800 (GMT+08:00)
PTS_4aaac4cc70a6dcdb8db,15861474924,梅超风,Tue Jul 24 1984 00:00:00 GMT+0800 (GMT+08:00),155319091895459940,V1,3c9ebda89,H4a10739b89d29,M,1,,USER_abb8bc879cf34d6ab5c89adaa61cabd40,Sun Mar 21 2004 00:00:00 GMT+0800 (GMT+08:00),Sun Mar 21 2004 00:00:00 GMT+0800 (GMT+08:00)
PTS_4aa16958aac2b5dfda1,14135710823,里母露,Sat Aug 04 1973 00:00:00 GMT+0800 (GMT+08:00),286474325594535140,V11,ed6acabfa,Hbc4accc9bdac6,M,0,,USER_bdd909dc9dc0ba9384a8d9a90d9bd9fcd,Sat Mar 10 1979 00:00:00 GMT+0800 (GMT+08:00),Sat Mar 24 1979 00:00:00 GMT+0800 (GMT+08:00)
PTS_2c9b99cbacadd096ac9,18695709993,维鲁多拉,Sat Feb 07 1959 00:00:00 GMT+0800 (GMT+08:00),551178841601173250,V10,b9d2a49a5,H59bb2ca3db8c9,M,1,,USER_757bb8c4a0da097c1ac2dbdb766b94599,Fri Apr 23 1999 00:00:00 GMT+0800 (GMT+08:00),Sat Aug 05 2000 00:00:00 GMT+0800 (GMT+08:00)
PTS_5f8c35927c93d929f50,16364544597,黑崎一护,Wed Oct 08 1980 00:00:00 GMT+0800 (GMT+08:00),983809374710198900,V4,bddd0dd39,H68a9dd9d9dca9,F,0,,USER_a02bdcdda68ec9a2399e8d4a697b9bab1,Sat Feb 06 1993 00:00:00 GMT+0800 (GMT+08:00),Fri Aug 20 1993 00:00:00 GMT+0800 (GMT+08:00)
PTS_f2dcdb10899d3e5961f,14957759613,露琪亚,Tue Feb 16 1926 00:00:00 GMT+0800 (GMT+08:00),162566235328276670,V7,3a944d9c9,Hadaccddcdba7d,F,1,,USER_2ddcacc93990c49d9f885326cb9992b4d,Sun Oct 25 1964 08:00:00 GMT+0800 (GMT+08:00),Thu Nov 05 1964 00:00:00 GMT+0800 (GMT+08:00)
PTS_b8bb9d2accdecae08a8,16917082027,奇玉,Tue Jun 27 1950 00:00:00 GMT+0800 (GMT+08:00),917288546908182000,V1,a999967c7,H4666c146dbbcb,M,0,,USER_9c9d3ad06ae3d99b79d4d83c492b86d6a,Thu Apr 20 1995 00:00:00 GMT+0800 (GMT+08:00),Thu Apr 20 1995 00:00:00 GMT+0800 (GMT+08:00)
PTS_ab58ebc209ccdc71695,14409147189,缪兰,Wed Jan 23 1980 00:00:00 GMT+0800 (GMT+08:00),260479349497006720,V5,95dda7d91,H720fb1adcac5a,O,0,,USER_ecc9dbad98b9cddcdabaca0d8be9dedb2,Sun Sep 14 1997 00:00:00 GMT+0800 (GMT+08:00),Sun Sep 14 1997 00:00:00 GMT+0800 (GMT+08:00)
PTS_4a4dac93c9bcddcc9bd,15387833779,黄飞鸿,Fri Jul 03 1959 00:00:00 GMT+0800 (GMT+08:00),408081400637055040,V7,0a839ccac,Hdf34b6ac9b22b,M,1,,USER_bcc944e05cf92adadcd9d7bbbca969cb4,Wed Sep 05 1973 00:00:00 GMT+0800 (GMT+08:00),Fri Nov 23 1973 00:00:00 GMT+0800 (GMT+08:00)
PTS_8b2fd299c0acb9baeb8,18694005063,李元芳,Tue Jan 19 1943 00:00:00 GMT+0900 (GMT+08:00),949491799086258200,V4,539977a91,H6c1ba9ababccc,M,1,,USER_9c9d3ad06ae3d99b79d4d83c492b86d6a,Tue Jul 07 1987 00:00:00 GMT+0900 (GMT+08:00),Sun Jul 12 1987 00:00:00 GMT+0900 (GMT+08:00)
PTS_0cbc5c9d2489b8dbdb3,18032176459,李沧海,Thu Nov 27 1975 08:00:00 GMT+0800 (GMT+08:00),153212158947360770,V3,63053cbab,H4b0170cc4ad33,M,1,,USER_ecc9dbad98b9cddcdabaca0d8be9dedb2,Wed Jul 17 2002 00:00:00 GMT+0800 (GMT+08:00),Thu Sep 26 2002 00:00:00 GMT+0800 (GMT+08:00)
PTS_0beccd2d8ee9fa8d9b3,17519721371,陈靖楠,Tue Apr 03 1990 00:00:00 GMT+0800 (GMT+08:00),939433117738371300,V3,0b939d97a,H32b3cc3dbdaa0,M,0,,USER_ea8db3b3baa78dbbcb51a877d5ab8994b,Thu Nov 26 2020 08:00:00 GMT+0800 (GMT+08:00),Sat Oct 24 2020 08:00:00 GMT+0800 (GMT+08:00)
PTS_980faf1da3f6a29973a,14291760184,洪熙官,Fri Feb 23 1996 00:00:00 GMT+0800 (GMT+08:00),783185481328533100,V2,4cccba81b,Ha0b902299eebd,F,1,,USER_2ddcacc93990c49d9f885326cb9992b4d,Wed May 02 2018 00:00:00 GMT+0800 (GMT+08:00),Wed May 02 2018 00:00:00 GMT+0800 (GMT+08:00)
PTS_b51cc9cddc8ca0213c1,14465103441,方世玉,Sat Mar 10 1984 00:00:00 GMT+0800 (GMT+08:00),415664587284428350,V6,fcca5b491,H8bd9999a23bcb,F,0,,USER_ecc9dbad98b9cddcdabaca0d8be9dedb2,Mon Nov 23 1998 08:00:00 GMT+0800 (GMT+08:00),Mon Nov 23 1998 08:00:00 GMT+0800 (GMT+08:00)
PTS_6a5cdb9bdbbabcbd19b,13751997600,元始天尊,Sat Jan 21 1978 00:00:00 GMT+0800 (GMT+08:00),412323595164622700,V5,9aaa3d8f8,H91c894b36d798,M,0,,USER_edd982f691e19aa68caea525e55989b9a,Wed Aug 24 1994 00:00:00 GMT+0800 (GMT+08:00),Tue Nov 07 1995 00:00:00 GMT+0800 (GMT+08:00)
PTS_79dbbec8a80dc7abafe,17244392033,程咬金,Sat Jul 16 1966 00:00:00 GMT+0800 (GMT+08:00),355579679195110850,V6,a8c7e0cb4,H59b9d2a8f1cdc,F,1,,USER_2ddcacc93990c49d9f885326cb9992b4d,Thu Jun 19 2008 00:00:00 GMT+0800 (GMT+08:00),Thu Jul 03 2008 00:00:00 GMT+0800 (GMT+08:00)
PTS_147c1daeb1cf94531e3,14511097670,鬼谷子,Wed Feb 27 1991 00:00:00 GMT+0800 (GMT+08:00),455813125050989440,V10,3b74ca8a3,H3a8d59c53335a,O,1,,USER_edd982f691e19aa68caea525e55989b9a,Fri Jun 06 2008 00:00:00 GMT+0800 (GMT+08:00),Mon Nov 10 2008 08:00:00 GMT+0800 (GMT+08:00)
PTS_2b9c20aed88abb5848c,13904843410,孙武,Mon Feb 01 1988 00:00:00 GMT+0800 (GMT+08:00),723415935266743300,V9,cba5dfb6d,H9cab2bdcd96d5,F,1,,USER_abb8bc879cf34d6ab5c89adaa61cabd40,Tue Oct 05 2004 00:00:00 GMT+0800 (GMT+08:00),Fri Feb 04 2005 00:00:00 GMT+0800 (GMT+08:00)
PTS_0a99ba9ca75d4c9ad84,13815404622,曹爽,Sun Jan 10 1988 00:00:00 GMT+0800 (GMT+08:00),548660626878600060,V0,fbcbdf8a6,H4416acbbdb5ab,M,0,,USER_7d41d1abf8acaa6b2ac8da89af0dfab9d,Sun Jul 19 2015 00:00:00 GMT+0800 (GMT+08:00),Sun Jul 19 2015 00:00:00 GMT+0800 (GMT+08:00)
PTS_9d0d8c8ad23dc999aca,18184579708,魏延,Tue Feb 21 1984 00:00:00 GMT+0800 (GMT+08:00),945739359006417300,V0,0badabb2e,Hbcde5c8f998db,F,0,,USER_1ae543cdab7e88aa0efb94f28a69d1b97,Sat Jul 09 2005 00:00:00 GMT+0800 (GMT+08:00),Tue Nov 29 2005 08:00:00 GMT+0800 (GMT+08:00)
PTS_d0fd37add2b1d998dc1,14736586231,霍去病,Mon Feb 05 1940 00:00:00 GMT+0800 (GMT+08:00),956378268165849100,V8,f4d138cc2,H787ec0a9d1779,F,1,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Fri Mar 11 1960 00:00:00 GMT+0800 (GMT+08:00),Fri Mar 11 1960 00:00:00 GMT+0800 (GMT+08:00)
PTS_ed3db0dc0ddbdb69b69,14706623554,木村拓,Tue Jun 04 1985 00:00:00 GMT+0800 (GMT+08:00),171161424380427550,V9,2fed99cad,H8aacca2871fa9,M,1,,USER_edd982f691e19aa68caea525e55989b9a,Tue Feb 24 1998 00:00:00 GMT+0800 (GMT+08:00),Tue Feb 24 1998 00:00:00 GMT+0800 (GMT+08:00)
PTS_539a5aa9c5e68dbdb2c,18513410462,织田信长,Sun Sep 13 1942 00:00:00 GMT+0900 (GMT+08:00),567366362011166900,V9,7f2fce2aa,Hd1f5aa27c59db,M,1,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Thu Feb 27 1958 00:00:00 GMT+0800 (GMT+08:00),Thu Feb 27 1958 00:00:00 GMT+0800 (GMT+08:00)
PTS_ed3d6c4a73ca33db95b,17369252852,李广,Sun Oct 16 1927 08:00:00 GMT+0800 (GMT+08:00),876518991044478800,V2,bcadbabd9,H67b350ca3aa9d,F,1,,USER_7d41d1abf8acaa6b2ac8da89af0dfab9d,Mon Sep 20 1943 00:00:00 GMT+0900 (GMT+08:00),Mon Sep 20 1943 00:00:00 GMT+0900 (GMT+08:00)
PTS_389cff792bd4dc7bd3a,15943305470,赵信,Sat Jul 08 1972 00:00:00 GMT+0800 (GMT+08:00),326294718674511200,V9,038dd4ea0,H2a7dadf1da947,F,0,,USER_8ba15bab0806c6dfb9d8cc4c443b98cce,Fri Nov 14 1986 08:00:00 GMT+0800 (GMT+08:00),Fri Oct 23 1987 08:00:00 GMT+0800 (GMT+08:00)
PTS_0dfa459cbb9f9db3e0c,16338503011,秦叔宝,Fri Jan 27 1978 00:00:00 GMT+0800 (GMT+08:00),139353259272742290,V4,cddcdbb82,H4f9daadb5adc9,F,1,,USER_bdd909dc9dc0ba9384a8d9a90d9bd9fcd,Wed Mar 05 1986 00:00:00 GMT+0800 (GMT+08:00),Wed Apr 23 1986 00:00:00 GMT+0800 (GMT+08:00)
PTS_8ca0384aa8148ba9bda,16452295743,李元霸,Thu Aug 18 1983 00:00:00 GMT+0800 (GMT+08:00),881173508446734500,V6,ebccd905a,Hb3edf96b8bafd,F,1,,USER_6db956312f81c8587d1cadc299ada1acb,Thu Jul 27 2006 00:00:00 GMT+0800 (GMT+08:00),Thu Jul 27 2006 00:00:00 GMT+0800 (GMT+08:00)
PTS_cc2b9bc03e79c18dabd,14138207353,周芷若,Sat Mar 26 1927 00:00:00 GMT+0800 (GMT+08:00),604965675264177900,V9,76980fa9a,H8b9cc2cdbda90,F,1,,USER_bcc944e05cf92adadcd9d7bbbca969cb4,Wed Feb 19 2003 00:00:00 GMT+0800 (GMT+08:00),Tue Oct 07 2003 00:00:00 GMT+0800 (GMT+08:00)
PTS_7dab4a9932d9bcc999c,16621034684,赵敏,Mon Jul 11 1977 00:00:00 GMT+0800 (GMT+08:00),695357845273187800,V0,e69da45b8,Hf8fd87b9bb99b,O,1,,USER_392ad4d986ba4b8b00aa999cbd368adad,Tue Sep 22 2015 00:00:00 GMT+0800 (GMT+08:00),Thu Sep 24 2015 00:00:00 GMT+0800 (GMT+08:00)
PTS_6da45d799c2b58cc988,13645991612,虚竹,Tue May 01 1928 00:00:00 GMT+0800 (GMT+08:00),553819561776785340,V1,f5bba2920,H6919f96eaa9b9,O,1,,USER_757bb8c4a0da097c1ac2dbdb766b94599,Fri May 01 1987 00:00:00 GMT+0900 (GMT+08:00),Sun Apr 19 1987 00:00:00 GMT+0900 (GMT+08:00)
PTS_e9a9eb29bcb9ebcd2bb,18057078606,慕容复,Sat Oct 25 1975 08:00:00 GMT+0800 (GMT+08:00),460590536530203260,V2,49bf2b39c,H5f7c9dd92c1dc,F,1,,USER_8ba15bab0806c6dfb9d8cc4c443b98cce,Sun Aug 13 2006 00:00:00 GMT+0800 (GMT+08:00),Sun Aug 13 2006 00:00:00 GMT+0800 (GMT+08:00)
PTS_accd690d6b9d6caca83,14931948495,穆念慈,Fri Apr 12 1991 00:00:00 GMT+0800 (GMT+08:00),229330761036384450,V7,e2dbd59f7,H00754d3a663af,F,1,,USER_2a10ec2ab6cc5a813a9904a9babac3c9f,Fri Mar 04 2005 00:00:00 GMT+0800 (GMT+08:00),Mon Oct 24 2005 08:00:00 GMT+0800 (GMT+08:00)
PTS_4bb4b1e5d1c9d249cc6,17657397927,杨过,Wed Jun 14 1978 00:00:00 GMT+0800 (GMT+08:00),471398574969721100,V2,68b1c7949,Hcc96c9dc3da3a,M,0,,USER_757bb8c4a0da097c1ac2dbdb766b94599,Sat Mar 06 1999 00:00:00 GMT+0800 (GMT+08:00),Sat Nov 20 1999 08:00:00 GMT+0800 (GMT+08:00)
PTS_a4ffcdba50cfd9acd74,16440046333,龙傲天,Fri Sep 19 1924 00:00:00 GMT+0800 (GMT+08:00),338224612727980300,V7,cbb69cba3,H2b9c58828bc99,O,0,,USER_ecc9dbad98b9cddcdabaca0d8be9dedb2,Sun Jul 14 2002 00:00:00 GMT+0800 (GMT+08:00),Sun Jul 14 2002 00:00:00 GMT+0800 (GMT+08:00)
PTS_1ccbcf27dd94ec2cb4a,14612371029,贾维斯,Sun Oct 23 1938 08:00:00 GMT+0800 (GMT+08:00),575688772915844540,V7,36845dcdc,H092a236a0cabd,O,0,,USER_9c9d3ad06ae3d99b79d4d83c492b86d6a,Fri Oct 05 1979 00:00:00 GMT+0800 (GMT+08:00),Fri Oct 05 1979 00:00:00 GMT+0800 (GMT+08:00)
PTS_289da819d97d92939aa,17816713580,一辉,Thu Jul 09 1925 00:00:00 GMT+0800 (GMT+08:00),550211391727437440,V2,1bcd69adb,Hadfdb0accea9a,O,0,,USER_bd6c7acbb9a43a95d9c1d0ccd93cab0cb,Tue Jan 20 1998 00:00:00 GMT+0800 (GMT+08:00),Thu Oct 08 1998 00:00:00 GMT+0800 (GMT+08:00)
PTS_bb8bce9aa2baea4b90b,15682705247,臧马,Sat Jan 25 1969 00:00:00 GMT+0800 (GMT+08:00),336717572490139300,V8,0399b384a,H5c9d4a9aac9a8,M,0,,USER_bcc944e05cf92adadcd9d7bbbca969cb4,Tue Aug 21 1973 00:00:00 GMT+0800 (GMT+08:00),Sun Oct 21 1973 08:00:00 GMT+0800 (GMT+08:00)
PTS_48cac50d9d8bd9979ff,17364756492,青乌子,Thu Jun 10 1982 00:00:00 GMT+0800 (GMT+08:00),940590274981640200,V0,5afdc44c5,H83baa9d4ceaa9,M,0,,USER_73cad890c27b69cc4d198bc3cdc59a45c,Tue May 07 2002 00:00:00 GMT+0800 (GMT+08:00),Tue May 07 2002 00:00:00 GMT+0800 (GMT+08:00)
PTS_ed8aaccf93996dcbd6f,16909166479,幺妹,Thu May 25 1995 00:00:00 GMT+0800 (GMT+08:00),226820275805675600,V1,26ae95cb5,H538da5d96b68e,F,0,,USER_bdd909dc9dc0ba9384a8d9a90d9bd9fcd,Wed Apr 11 2001 00:00:00 GMT+0800 (GMT+08:00),Wed Apr 11 2001 00:00:00 GMT+0800 (GMT+08:00)
PTS_e6c6933299ab18a9a6b,16139065016,胡八一,Fri Apr 23 1948 00:00:00 GMT+0800 (GMT+08:00),921677073095005300,V6,053da6b5d,H0ab8da99cadcd,F,1,,USER_abb8bc879cf34d6ab5c89adaa61cabd40,Tue Aug 22 1989 00:00:00 GMT+0900 (GMT+08:00),Wed Aug 02 1989 00:00:00 GMT+0900 (GMT+08:00)
PTS_8b989afbb275a991b69,17734638798,王凯旋,Thu Jan 05 2006 00:00:00 GMT+0800 (GMT+08:00),411522963210422300,V11,8998a8d88,Hdbdaddba8bcbb,O,1,,USER_1ae543cdab7e88aa0efb94f28a69d1b97,Sun Oct 02 2016 00:00:00 GMT+0800 (GMT+08:00),Sun Oct 02 2016 00:00:00 GMT+0800 (GMT+08:00)
PTS_89ca89aad64aa9b0ac9,16277984339,铁木真,Tue May 26 1942 00:00:00 GMT+0900 (GMT+08:00),660067350486461700,V5,febd8cebe,H8c4dbda9abd19,O,1,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Mon Mar 12 1990 00:00:00 GMT+0800 (GMT+08:00),Mon Mar 12 1990 00:00:00 GMT+0800 (GMT+08:00)
PTS_9d6fac7cdd5911fd9db,15447673334,凯撒,Fri Jun 23 1944 00:00:00 GMT+0900 (GMT+08:00),713792523125128300,V7,3b99cccbb,H92bceb891929b,O,1,,USER_9c9d3ad06ae3d99b79d4d83c492b86d6a,Sun Nov 20 2016 08:00:00 GMT+0800 (GMT+08:00),Sun Nov 20 2016 08:00:00 GMT+0800 (GMT+08:00)
PTS_5caa87cc9adebaab7cc,15994637143,凯索,Sun Feb 22 1987 00:00:00 GMT+0800 (GMT+08:00),917970779484659800,V7,349789ca8,H5d0b5ba0fb64b,O,1,,USER_757bb8c4a0da097c1ac2dbdb766b94599,Sat Mar 13 1993 00:00:00 GMT+0800 (GMT+08:00),Thu Apr 29 1993 00:00:00 GMT+0800 (GMT+08:00)
PTS_bcbb8fcb9849fd2dabb,15265971706,格奈乌斯,Thu Jul 27 1939 00:00:00 GMT+0800 (GMT+08:00),619356984196977200,V7,1ded9f8f7,H138a16aadb916,F,0,,USER_bcc944e05cf92adadcd9d7bbbca969cb4,Wed Sep 01 1999 00:00:00 GMT+0800 (GMT+08:00),Wed Sep 01 1999 00:00:00 GMT+0800 (GMT+08:00)
PTS_dab2829910eabadabbc,18039167281,路飞,Thu Oct 09 1924 00:00:00 GMT+0800 (GMT+08:00),729668629884715100,V1,3dcbd3a8a,Hc4d793dfc7b9c,F,0,,USER_edd982f691e19aa68caea525e55989b9a,Sun Jan 12 1936 00:00:00 GMT+0800 (GMT+08:00),Sat Jun 19 1937 00:00:00 GMT+0800 (GMT+08:00)
PTS_2a999ddbcd180ecbda2,14773458468,乔巴,Tue Apr 03 1951 00:00:00 GMT+0800 (GMT+08:00),633102329009623000,V6,9521ebdcd,Hb78a9c49d8d3a,F,1,,USER_73cad890c27b69cc4d198bc3cdc59a45c,Sun Aug 03 2003 00:00:00 GMT+0800 (GMT+08:00),Tue Oct 21 2003 08:00:00 GMT+0800 (GMT+08:00)
PTS_e6c885afca9ccfbc9d7,15568143766,娜美,Mon Oct 18 1993 08:00:00 GMT+0800 (GMT+08:00),771400666103365100,V3,2d5abbb8c,Hab09185df6aed,M,0,,USER_1ae543cdab7e88aa0efb94f28a69d1b97,Wed Apr 01 1998 00:00:00 GMT+0800 (GMT+08:00),Wed Jun 10 1998 00:00:00 GMT+0800 (GMT+08:00)
PTS_0be998d9dae76dadab6,13526192691,罗兵,Wed Sep 08 1937 00:00:00 GMT+0800 (GMT+08:00),826244267253089000,V9,bebdd3791,H55a39977b892d,O,1,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Mon Oct 02 1978 00:00:00 GMT+0800 (GMT+08:00),Mon Oct 02 1978 00:00:00 GMT+0800 (GMT+08:00)
PTS_f1f959700dafced92d8,15575336178,路西法,Wed Jan 13 1971 00:00:00 GMT+0800 (GMT+08:00),465133084646762400,V2,3c16cb339,H3d9c9215ccfdc,M,1,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Fri Feb 23 1979 00:00:00 GMT+0800 (GMT+08:00),Fri Feb 23 1979 00:00:00 GMT+0800 (GMT+08:00)
PTS_5abbbc3c8bcfbb8b4a8,17190165091,普布利乌斯,Sat Apr 10 1943 00:00:00 GMT+0900 (GMT+08:00),298384892317786750,V2,8dac56d59,H1fc6c1bcbb7c9,M,1,,USER_bdd909dc9dc0ba9384a8d9a90d9bd9fcd,Mon Sep 01 1947 00:00:00 GMT+0900 (GMT+08:00),Mon Jan 12 1948 00:00:00 GMT+0800 (GMT+08:00)
PTS_4c6435acb94b79ac9dc,17419836510,昆图斯,Sat May 23 1981 00:00:00 GMT+0800 (GMT+08:00),141843068261925660,V4,d5c9adab7,H9cbac89cca9d6,O,0,,USER_abb8bc879cf34d6ab5c89adaa61cabd40,Mon Jul 10 2000 00:00:00 GMT+0800 (GMT+08:00),Mon Jul 10 2000 00:00:00 GMT+0800 (GMT+08:00)
